Day,Time,Supplier,Value
6,17,2,6101.18500417
6,17,3,7743.554582285
6,17,4,0
6,17,5,0
6,17,6,0
6,18,1,5955.098113734
6,18,2,7051.18500417
6,18,3,7895.554582285
6,18,4,0
6,18,5,0
6,18,6,0
6,19,1,5955.098113734
6,19,2,7051.18500417
6,19,3,7895.554582285
6,19,4,0
6,19,5,0
6,19,6,0
6,20,1,5966.420625729
6,20,2,7051.18500417
6,20,3,7895.554582285
6,20,4,0
6,20,5,0
6,20,6,0
6,21,1,5966.420625729
6,21,2,7051.18500417
6,21,3,7895.554582285
6,21,4,0
6,21,5,0
6,21,6,0
6,22,1,5966.420625729
6,22,2,7051.18500417
6,22,3,7895.554582285
6,22,4,0
6,22,5,0
6,22,6,0
6,23,1,5966.420625729
6,23,2,7051.18500417
6,23,3,7895.554582285
6,23,4,0
6,23,5,0
6,23,6,0
6,24,1,5966.420625729
6,24,2,7051.18500417
6,24,3,7895.554582285
6,24,4,0
6,24,5,0
6,24,6,0
7,1,1,5966.420625729
7,1,2,7051.18500417
7,1,3,7895.554582285
7,1,4,0
7,1,5,0
7,1,6,0
7,2,1,5966.420625729
7,2,2,7051.18500417
7,2,3,7415.024970528
7,2,4,0
7,2,5,0
7,2,6,0
7,3,1,5966.420625729
7,3,2,7051.18500417
7,3,3,7074.877147458
7,3,4,0
7,3,5,0
7,3,6,0
7,4,1,5835.677396683
7,4,2,7051.18500417
7,4,3,6022.245568511
7,4,4,0
7,4,5,0
7,4,6,0
7,5,1,5835.677396683
7,5,2,6373.100995166
7,5,3,4969.613989563
7,5,4,0
7,5,5,0
7,5,6,0
7,6,1,5835.677396683
7,6,2,6373.100995166
7,6,3,4969.613989563
7,6,4,0
7,6,5,0
7,6,6,0
7,7,1,5835.677396683
7,7,2,6373.100995166
7,7,3,4969.613989563
7,7,4,0
7,7,5,0
7,7,6,0
7,8,1,5835.677396683
7,8,2,6277.845303164
7,8,3,4969.613989563
7,8,4,0
7,8,5,0
7,8,6,0
7,9,1,5835.677396683
7,9,2,6277.845303164
7,9,3,4969.613989563
7,9,4,0
7,9,5,0
7,9,6,0
7,10,1,5370.915655964
7,10,2,6277.845303164
7,10,3,4969.613989563
7,10,4,0
7,10,5,0
7,10,6,0
7,11,1,5370.915655964
7,11,2,6263.157894737
7,11,3,4969.613989563
7,11,4,0
7,11,5,0
7,11,6,0
7,12,1,4318.284077017
7,12,2,5210.526315789
7,12,3,4199.097964672
7,12,4,0
7,12,5,0
7,12,6,0
7,13,1,4318.284077017
7,13,2,4157.894736842
7,13,3,4157.894736842
7,13,4,0
7,13,5,0
7,13,6,0
7,14,1,3265.652498069
7,14,2,3105.263157895
7,14,3,3105.263157895
7,14,4,0
7,14,5,0
7,14,6,0
7,15,1,2213.020919122
7,15,2,2052.631578947
7,15,3,2052.631578947
7,15,4,0
7,15,5,0
7,15,6,0
7,16,1,1160.389340175
7,16,2,1000
7,16,3,1000
7,16,4,0
7,16,5,0
7,16,6,0
7,17,1,565.317883675
7,17,2,487.179487179
7,17,3,487.179487179
7,17,4,0
7,17,5,0
7,17,6,0
7,18,1,275.411276662
7,18,2,237.343852728
7,18,3,237.343852728
7,18,4,0
7,18,5,0
7,18,6,0
7,19,1,134.174724528
7,19,2,115.629056457
7,19,3,115.629056457
7,19,4,0
7,19,5,0
7,19,6,0
7,20,1,65.367173488
7,20,2,56.332104428
7,20,3,56.332104428
7,20,4,0
7,20,5,0
7,20,6,0
7,21,1,31.845546058
7,21,2,27.443845747
7,21,3,27.443845747
7,21,4,0
7,21,5,0
7,21,6,0
7,22,1,15.514496798
7,22,2,13.370078697
7,22,3,13.370078697
7,22,4,0
7,22,5,0
7,22,6,0
7,23,1,7.558344594
7,23,2,6.513628083
7,23,3,6.513628083
7,23,4,0
7,23,5,0
7,23,6,0
7,24,1,3.682270443
7,24,2,3.173305989
7,24,3,3.173305989
7,24,4,0
7,24,5,0
7,24,6,0
8,1,1,3.682270443
8,1,2,3.173305989
8,1,3,3.173305989
8,1,4,0
8,1,5,0
8,1,6,0
8,2,1,3.682270443
8,2,2,3.173305989
8,2,3,119.821439793
8,2,4,0
8,2,5,0
8,2,6,0
8,3,1,3.682270443
8,3,2,3.173305989
8,3,3,119.821439793
8,3,4,0
8,3,5,0
8,3,6,0
8,4,1,3.682270443
8,4,2,3.173305989
8,4,3,119.821439793
8,4,4,0
8,4,5,0
8,4,6,0
8,5,1,3.682270443
8,5,2,3.173305989
8,5,3,119.821439793
8,5,4,0
8,5,5,0
8,5,6,0
8,6,1,3.682270443
8,6,2,3.173305989
8,6,3,119.821439793
8,6,4,0
8,6,5,0
8,6,6,0
8,7,1,3.682270443
8,7,2,3.173305989
8,7,3,119.821439793
8,7,4,0
8,7,5,0
8,7,6,0
8,8,1,3.682270443
